Year;Attribut; Value ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 339 174 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 339 155 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 339 188 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 339 294 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 340 217 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 341 109 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 342 365 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 343 939 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 8 871 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 8 989 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 9 103 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 9 212 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 9 306 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 9 385 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 9 453 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 9 514 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 9 588 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 9 686 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 9 797 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 9 908 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 9 993 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 10 067 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 10 160 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 10 289 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 10 468 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 10 668 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 10 848 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 10 973 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 11 031 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 11 079 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 11 140 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 11 232 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 11 362 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 11 518 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 11 694 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 11 876 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 26 345 551 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 27 290 177 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 28 214 178 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 29 102 709 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 29 953 324 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 30 742 921 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 31 469 668 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 32 156 229 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 32 833 586 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 33 542 281 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 34 327 417 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 35 225 493 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 36 225 245 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 37 271 230 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 38 313 547 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 39 287 287 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 39 755 914 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 39 575 181 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 39 127 786 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 38 837 591 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 39 179 743 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 40 025 205 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 40 890 509 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 41 783 638 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 42 711 093 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 43 665 724 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 44 654 947 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 45 697 489 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 3 927 808 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 4 018 263 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 4 108 809 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 4 200 943 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 4 294 469 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 4 391 364 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 4 492 350 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 4 590 764 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 4 688 397 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 4 786 547 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 4 883 554 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 4 983 328 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 5 080 296 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 5 177 070 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 5 271 659 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 5 365 326 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 5 457 908 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 5 544 245 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 5 628 841 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 5 718 959 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 5 817 075 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 5 923 716 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 6 034 759 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 6 150 702 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 6 270 325 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 6 397 076 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 6 527 472 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 6 665 586 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 2 059 684 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 2 145 847 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 2 166 907 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 2 213 237 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 2 292 276 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 2 369 211 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 2 446 294 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 2 525 417 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 2 609 496 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 2 698 773 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 2 789 401 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 2 888 731 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 2 997 981 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 3 125 498 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 3 248 476 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 3 345 505 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 3 435 338 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 3 524 809 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 3 616 151 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 3 701 288 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 3 772 091 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 3 839 766 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 3 914 464 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 3 996 132 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 4 081 774 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 4 166 256 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 4 254 400 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 4 345 850 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 478 077 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 499 087 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 549 261 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 582 354 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 606 929 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 630 300 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 651 332 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 670 520 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 688 326 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 708 125 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 732 018 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 759 694 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 787 823 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 814 134 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 845 984 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 863 075 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 865 348 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 891 032 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 932 132 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 971 077 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 011 975 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 065 226 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 127 549 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 184 293 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 236 195 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 286 507 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 340 291 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 398 799 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 140 193 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 141 677 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 143 356 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 145 342 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 147 536 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 149 834 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 152 615 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 155 936 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 159 609 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 163 333 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 167 004 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 170 629 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 174 664 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 178 861 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 183 068 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 187 165 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 190 989 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 194 258 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 197 289 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 199 879 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 202 205 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 204 191 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 205 630 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 206 699 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 207 208 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 207 568 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 207 670 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 207 674 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 180 700 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 188 167 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 195 464 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 202 927 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 210 191 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 217 315 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 224 312 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 231 159 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 237 954 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 244 612 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 250 747 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 256 445 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 261 763 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 266 802 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 271 865 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 277 055 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 282 167 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 287 198 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 292 099 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 296 973 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 301 728 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 306 386 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 310 556 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 314 358 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 317 748 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 320 713 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 323 168 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 325 517 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 2 355 269 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 2 319 872 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 2 285 845 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 2 256 522 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 2 235 209 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 2 223 044 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 2 218 014 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 2 214 123 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 2 211 074 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 2 210 774 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 2 216 033 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 2 221 202 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 2 223 162 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 2 223 909 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 2 230 505 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 2 242 672 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 2 263 662 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 2 294 468 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 2 328 419 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 2 358 391 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 2 379 038 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 2 389 793 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 2 396 644 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 2 399 324 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 2 400 174 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 2 398 600 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 2 393 640 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 2 388 686 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 52 472 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 52 903 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 53 383 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 54 003 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 54 743 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 55 612 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 56 583 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 57 669 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 58 689 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 59 772 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 60 760 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 61 777 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 62 777 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 63 753 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 64 655 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 65 586 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 66 417 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 67 067 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 67 707 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 68 223 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 68 866 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 69 570 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 70 282 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 70 938 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 71 645 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 72 420 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 73 175 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 73 965 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 3 964 417 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 4 001 251 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 4 033 975 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 4 065 279 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 4 092 439 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 4 115 555 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 4 123 887 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 4 113 848 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 4 097 710 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 4 085 842 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 4 091 640 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 4 117 818 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 4 153 788 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 4 192 527 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 4 227 847 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 4 253 697 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 4 270 484 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 4 284 510 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 4 296 350 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 4 308 932 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 4 323 850 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 4 342 819 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 4 368 761 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 4 400 455 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 4 437 730 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 4 479 393 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 4 524 699 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 4 570 521 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 105 402 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 110 190 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 114 804 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 119 237 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 123 376 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 127 170 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 130 623 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 133 747 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 136 732 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 139 807 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 143 050 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 146 369 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 149 981 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 154 350 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 159 323 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 172 817 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 186 834 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 194 091 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 201 541 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 210 213 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 221 309 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 231 521 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 247 380 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 267 120 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 283 094 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 299 872 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 317 440 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 334 997 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 512 354 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 512 592 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 512 316 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 511 527 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 509 967 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 508 226 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 507 890 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 509 498 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 512 391 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 515 984 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 518 743 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 520 937 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 523 786 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 527 143 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 530 668 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 534 905 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 539 701 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 544 834 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 550 067 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 555 800 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 561 991 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 568 211 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 573 978 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 579 091 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 584 804 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 590 696 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 597 262 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 603 836 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 541 808 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 560 515 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 580 141 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 600 762 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 622 254 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 644 657 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 669 042 ;;;;;;;;;
1997;Prevalence of depressive disorders (everyone); 695 605 ;;;;;;;;;
1998;Prevalence of depressive disorders (everyone); 723 244 ;;;;;;;;;
1999;Prevalence of depressive disorders (everyone); 750 701 ;;;;;;;;;
2000;Prevalence of depressive disorders (everyone); 776 738 ;;;;;;;;;
2001;Prevalence of depressive disorders (everyone); 801 414 ;;;;;;;;;
2002;Prevalence of depressive disorders (everyone); 825 645 ;;;;;;;;;
2003;Prevalence of depressive disorders (everyone); 849 667 ;;;;;;;;;
2004;Prevalence of depressive disorders (everyone); 873 626 ;;;;;;;;;
2005;Prevalence of depressive disorders (everyone); 897 849 ;;;;;;;;;
2006;Prevalence of depressive disorders (everyone); 921 255 ;;;;;;;;;
2007;Prevalence of depressive disorders (everyone); 942 812 ;;;;;;;;;
2008;Prevalence of depressive disorders (everyone); 964 206 ;;;;;;;;;
2009;Prevalence of depressive disorders (everyone); 987 206 ;;;;;;;;;
2010;Prevalence of depressive disorders (everyone); 1 013 769 ;;;;;;;;;
2011;Prevalence of depressive disorders (everyone); 1 044 036 ;;;;;;;;;
2012;Prevalence of depressive disorders (everyone); 1 075 957 ;;;;;;;;;
2013;Prevalence of depressive disorders (everyone); 1 109 442 ;;;;;;;;;
2014;Prevalence of depressive disorders (everyone); 1 144 335 ;;;;;;;;;
2015;Prevalence of depressive disorders (everyone); 1 180 746 ;;;;;;;;;
2016;Prevalence of depressive disorders (everyone); 1 219 219 ;;;;;;;;;
2017;Prevalence of depressive disorders (everyone); 1 259 954 ;;;;;;;;;
1990;Prevalence of depressive disorders (everyone); 1 902 ;;;;;;;;;
1991;Prevalence of depressive disorders (everyone); 1 938 ;;;;;;;;;
1992;Prevalence of depressive disorders (everyone); 1 965 ;;;;;;;;;
1993;Prevalence of depressive disorders (everyone); 1 988 ;;;;;;;;;
1994;Prevalence of depressive disorders (everyone); 2 010 ;;;;;;;;;
1995;Prevalence of depressive disorders (everyone); 2 035 ;;;;;;;;;
1996;Prevalence of depressive disorders (everyone); 2 063 ;;;;;;;;;
